Gene	Annotation	Accession
G476	Family with sequence similarity 80, member B	AI760919
G477	THO complex 4	AF047002
G478	adenylosuccinate synthase like 1	BF593252
G479	ribosomal protein S6 kinase, 90kDa, polypeptide 3	BG498334
G480	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	BE550362
G481	Mitogen-activated protein kinase kinase kinase 2	AA045204
G482	ADP-ribosylation factor-like 5	AW291264
G483	pantothenate kinase 1	AI373299
G484	ribosomal protein S6 kinase, 70kDa, polypeptide 1	AI142096
G485	Fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	BE467261
G486	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	AA587884
G487	ATPase, Class I, type 8B, member 2	AB032963
G488	ATPase, Class VI, type 11C	BF475862
G489	kinesin family member C2	BF515031
G490	Chromosome 1 open reading frame 57	AA883980

